编号,震源号,震源X/m,震源Y/m,震源Z/m,台站X/m,台站Y/m,台站Z/m,到时/ms,传播时间/ms
,115,5462,10138,384,5511,10329,384,981,56.3386263262296
,115,5462,10138,384,5265,10025,391,1023,64.9187875702546
,116,5341,10395,384,5265,10213,389,996,56.3697704484253
,116,5341,10395,384,5511,10133,393,1031,89.2714274283885
,116,5341,10395,384,5511,10329,384,996,52.1035076573937
,116,5341,10395,384,5265,10025,391,1046,107.939892570649
,117,5521,10335,384,5265,10213,389,1095,81.0366508162215
,117,5521,10335,384,5511,10133,393,1060,57.8421497328227
,117,5521,10335,384,5511,10329,384,1004,3.33197251134017
,117,5521,10335,384,5265,10025,391,1105,114.885923899336
